id;nome;cpf;matricula;curso;genero;nascimento
1;Roraima HTTP;Federal Quênia;HTTP connect;Auto Algodão;M;2022-04-19
2;Phased;payment connecting;Bebê;Interactions;F;2022-04-20
3;enable;eyeballs Fantástico;copy Organic;Costa deposit;F;2022-04-20
4;user-centric Officer transmit;exuding synthesize tangible;navigating neural;microchip Palladium revolutionize;F;2022-04-19
5;Pará withdrawal Alagoas;heuristic;firewall system Madeira;bronze Gostoso copy;M;2022-04-20
6;hacking Índia circuit;connecting Saint schemas;Rodovia;base partnerships wireless;F;2022-04-20
7;matrix;Investor SMS;Plástico Manat;user-centric e-services;M;2022-04-20
8;multi-byte optimizing Director;challenge;Chapéu incentivize;Macio wireless;F;2022-04-20
9;Congo;zero Savings azul;next compress;optimal incentivize Pará;F;2022-04-20
10;Amazonas wireless;Roraima;Colombian;Account;F;2022-04-20
